Altium Designer Pick and Place Locations
M:\ExclusiveDevices\3\Other\lte-router\SCHPCB\lte-router_V2\Project Outputs for lte-router_V2\_ProjectName_ARCHIVE\_ProjectName_GENERATED\Assembly\Pick and Place\Pick Place for lte-router_V2.csv

========================================================================================================================
File Design Information:

Date:       18-01-25
Time:       14:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C34","52.5750","40.9500","TopLayer","270"
"C18","54.8000","42.0000","TopLayer","270"
"R30","43.4500","13.8150","TopLayer","180"
"R29","43.4500","16.2750","TopLayer","180"
"R27","40.6000","42.9250","TopLayer","0"
"R28","40.1500","37.5500","TopLayer","180"
"VD2","42.7000","39.2750","TopLayer","270"
"VD1","38.6750","41.0750","TopLayer","180"
"R46","66.5500","41.2000","TopLayer","0"
"R45","44.8000","25.4250","TopLayer","270"
"R44","50.0000","25.4250","TopLayer","270"
"R43","51.3000","25.4250","TopLayer","270"
"R42","47.4000","25.4250","TopLayer","270"
"R41","48.7000","25.4250","TopLayer","270"
"R40","46.1000","25.4250","TopLayer","270"
"R39","53.8000","44.9000","TopLayer","270"
"J6","74.7500","44.8750","TopLayer","90"
"DLed1","68.4000","45.5500","TopLayer","180"
"D1","59.6250","44.7250","TopLayer","270"
"C33","71.2850","41.1750","TopLayer","180"
"R37","32.6000","48.4000","BottomLayer","270"
"U4","32.3700","45.0000","BottomLayer","180"
"R38","27.4250","45.0000","BottomLayer","180"
"Q1","36.8750","46.9000","BottomLayer","360"
"C32","29.3500","48.4000","BottomLayer","360"
"C31","29.4250","45.4500","BottomLayer","270"
"GND","32.4000","1.7000","TopLayer","0"
"C30","34.8100","26.6200","TopLayer","270"
"C29","29.3700","1.9000","TopLayer","360"
"C28","35.4800","15.8700","TopLayer","180"
"TX","39.6091","1.6950","TopLayer","0"
"RX","36.0000","1.7000","TopLayer","0"
"R36","20.2100","6.2800","TopLayer","360"
"R35","4.3500","31.2500","TopLayer","360"
"X1","49.7500","18.0500","TopLayer","270"
"SIM1","64.2000","31.6000","BottomLayer","360"
"R32","22.9500","42.6200","BottomLayer","360"
"R31","25.7250","42.6200","BottomLayer","360"
"R26","28.5500","36.8500","BottomLayer","180"
"R25","26.5750","36.2000","BottomLayer","90"
"R23","52.4000","44.9000","TopLayer","90"
"R20","32.4750","48.5000","TopLayer","360"
"R19","33.7750","37.1250","TopLayer","270"
"R18","43.4500","7.4500","TopLayer","360"
"R17","43.4500","9.4500","TopLayer","360"
"R16","43.4500","11.4500","TopLayer","360"
"R15","35.4500","22.0000","TopLayer","0"
"R14","35.4500","23.3750","TopLayer","0"
"R13","35.4500","24.7500","TopLayer","0"
"R12","41.4000","45.6500","TopLayer","90"
"R11","39.7000","45.6500","TopLayer","90"
"R10","43.7750","45.6500","TopLayer","270"
"R9","40.9750","25.7000","TopLayer","180"
"R6","5.3000","18.9000","TopLayer","180"
"R1","40.9500","31.3500","TopLayer","360"
"J5","47.0000","37.2000","BottomLayer","180"
"J4","9.5000","9.4000","TopLayer","90"
"J3","9.3000","40.2000","TopLayer","90"
"C26","37.7750","41.2500","BottomLayer","90"
"C25","35.7250","41.2500","BottomLayer","90"
"C24","52.1250","29.9250","TopLayer","180"
"C19","24.5250","38.1500","BottomLayer","90"
"C3","35.9750","6.0250","TopLayer","90"
"C17","50.4500","3.8500","TopLayer","360"
"C16","50.4500","2.5000","TopLayer","360"
"C13","36.7900","28.0700","TopLayer","270"
"C9","36.9250","32.1500","TopLayer","360"
"C8","20.6500","41.5000","TopLayer","180"
"C2","19.8250","10.1250","TopLayer","270"
"X2","38.0000","17.4000","BottomLayer","360"
"VT3","36.4250","37.5750","TopLayer","0"
"VT2","33.7500","41.9250","TopLayer","270"
"VT1","40.3500","28.5250","TopLayer","180"
"U3","27.8750","39.8250","BottomLayer","180"
"U2","15.3000","23.9250","TopLayer","360"
"U1","26.4250","38.8000","TopLayer","90"
"SW1","49.0000","46.7000","TopLayer","270"
"R24","40.9750","20.7000","TopLayer","180"
"R22","39.4250","5.3000","TopLayer","180"
"R21","39.4250","6.7250","TopLayer","180"
"R8","10.3500","24.5250","TopLayer","180"
"R7","10.3500","25.8500","TopLayer","180"
"R4","21.8000","35.0750","TopLayer","360"
"R3","21.2250","37.8750","TopLayer","360"
"R2","13.7500","29.7000","TopLayer","360"
"LED1","43.7750","48.4750","TopLayer","90"
"L2","32.4250","39.5250","BottomLayer","90"
"L1","53.5000","2.2000","TopLayer","180"
"J2","24.0500","46.9250","TopLayer","180"
"J1","5.3000","25.2000","TopLayer","90"
"C27","66.1500","37.2750","TopLayer","180"
"C23","28.2750","42.6000","BottomLayer","360"
"C22","65.7250","22.2750","TopLayer","90"
"C21","63.1750","22.2750","TopLayer","90"
"C20","60.6000","22.2750","TopLayer","90"
"C15","53.3500","3.8500","TopLayer","180"
"C14","55.9500","2.6750","TopLayer","270"
"C12","33.9500","6.6500","TopLayer","270"
"C11","33.9500","4.4500","TopLayer","90"
"C10","33.6250","31.1500","TopLayer","270"
"C7","18.5000","27.5250","TopLayer","0"
"C6","30.7000","42.3500","TopLayer","90"
"C5","21.2500","13.4000","TopLayer","360"
"C4","21.2500","14.8500","TopLayer","0"
"C1","21.7250","10.2500","TopLayer","270"
