Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
R10,3.375,18.875,TopLayer,180
R5,33,45.3,TopLayer,0
VD3,41.7,36.15,TopLayer,90
C34,52.575,40.95,TopLayer,270
C18,54.8,42,TopLayer,270
R30,43.45,13.815,TopLayer,180
R29,43.45,16.275,TopLayer,180
R27,40.6,42.925,TopLayer,0
VD2,45.0484,38.158,TopLayer,270
VD1,38.675,41.075,TopLayer,180
R46,66.55,41.2,TopLayer,0
R45,44.8,25.425,TopLayer,270
R44,50,25.425,TopLayer,270
R43,51.3,25.425,TopLayer,270
R42,47.4,25.425,TopLayer,270
R41,48.7,25.425,TopLayer,270
R40,46.1,25.425,TopLayer,270
R39,53.8,44.9,TopLayer,270
J6,74.75,44.875,TopLayer,90
DLed1,68.4,45.55,TopLayer,180
D1,59.625,44.725,TopLayer,270
C33,71.285,41.175,TopLayer,180
R37,32.6,48.4,BottomLayer,270
U4,32.37,45,BottomLayer,180
R38,27.425,45,BottomLayer,180
Q1,36.875,46.9,BottomLayer,0
C32,29.35,48.4,BottomLayer,0
C31,29.425,45.45,BottomLayer,270
GND,32.4,1.7,TopLayer,0
C30,34.81,26.62,TopLayer,270
C29,29.37,1.9,TopLayer,0
C28,35.48,15.87,TopLayer,180
TX,39.6091,1.695,TopLayer,0
RX,36,1.7,TopLayer,0
R36,20.21,6.28,TopLayer,0
R35,4.35,31.25,TopLayer,0
X1,49.75,18.05,TopLayer,270
SIM1,64.2,31.6,BottomLayer,0
R32,22.95,42.62,BottomLayer,0
R31,25.725,42.62,BottomLayer,0
R26,28.55,36.85,BottomLayer,180
R25,26.575,36.2,BottomLayer,90
R23,52.4,44.9,TopLayer,90
R20,32.475,48.5,TopLayer,0
R19,33.775,37.125,TopLayer,270
R18,43.45,7.45,TopLayer,0
R17,43.45,9.45,TopLayer,0
R16,43.45,11.45,TopLayer,0
R15,35.45,22,TopLayer,0
R14,35.45,23.375,TopLayer,0
R13,35.45,24.75,TopLayer,0
R12,41.4,45.65,TopLayer,90
R11,39.7,45.65,TopLayer,90
R9,40.975,25.7,TopLayer,180
R6,6,18.9,TopLayer,180
R1,40.95,31.35,TopLayer,0
J5,47,37.2,BottomLayer,180
J4,9.5,9.4,TopLayer,90
J3,9.3,40.2,TopLayer,90
C26,37.775,41.25,BottomLayer,90
C25,35.725,41.25,BottomLayer,90
C24,52.125,29.925,TopLayer,180
C19,24.525,38.15,BottomLayer,90
C3,35.975,6.025,TopLayer,90
C17,50.45,3.85,TopLayer,0
C16,50.45,2.5,TopLayer,0
C13,36.79,28.07,TopLayer,270
C9,36.925,32.15,TopLayer,0
C8,20.65,41.5,TopLayer,180
C2,19.825,10.125,TopLayer,270
X2,38,17.4,BottomLayer,0
VT3,36.425,37.575,TopLayer,0
VT2,33.75,41.925,TopLayer,270
VT1,40.35,28.525,TopLayer,180
U3,27.875,39.825,BottomLayer,180
U2,15.3,23.925,TopLayer,0
U1,26.425,38.8,TopLayer,90
SW1,49,46.7,TopLayer,270
R24,40.975,20.7,TopLayer,180
R22,39.425,5.3,TopLayer,180
R21,39.425,6.725,TopLayer,180
R8,10.35,24.525,TopLayer,180
R7,10.35,25.85,TopLayer,180
R4,21.8,35.075,TopLayer,0
R3,21.225,37.875,TopLayer,0
R2,13.75,29.7,TopLayer,0
L2,32.425,39.525,BottomLayer,90
L1,53.5,2.2,TopLayer,180
J2,24.05,46.925,TopLayer,180
J1,5.3,25.2,TopLayer,90
C27,66.15,37.275,TopLayer,180
C23,28.275,42.6,BottomLayer,0
C22,65.725,22.275,TopLayer,90
C21,63.175,22.275,TopLayer,90
C20,60.6,22.275,TopLayer,90
C15,53.35,3.85,TopLayer,180
C14,55.95,2.675,TopLayer,270
C12,33.95,6.65,TopLayer,270
C11,33.95,4.45,TopLayer,90
C10,33.625,31.15,TopLayer,270
C7,18.5,27.525,TopLayer,0
C6,30.7,42.35,TopLayer,90
C5,21.25,13.4,TopLayer,0
C4,21.25,14.85,TopLayer,0
C1,21.725,10.25,TopLayer,270
